SRR8245064	SRR8245065	SRR8245066	SRR8245067	SRR8245068	SRR8245069	SRR8245070	SRR8245071	SRR8245072	SRR8245073	SRR8245074	SRR8245075	SRR8245076	SRR8245077
ENSMUSG00000101685.2	0	1	1	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000101306.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088800.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101644.2	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000099433.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089787.3	3	0	2	0	3	2	0	0	1	0	0	0	4	0
ENSMUSG00000042596.8	4	0	1	0	1	0	2	0	0	0	0	0	0	0
ENSMUSG00000100720.2	0	0	0	0	0	2	0	0	0	0	0	0	0	1
ENSMUSG00000025927.14	0	0	0	1	0	0	0	2	0	0	5	0	0	0
ENSMUSG00000100538.2	1	0	0	1	2	0	0	0	0	0	0	0	1	0
ENSMUSG00000101117.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100204.2	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00002076883.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102597.2	0	27	0	0	4	0	1	4	0	0	0	0	0	2
ENSMUSG00000043760.17	21	2	12	7	4	15	10	6	3	0	2	0	3	3
ENSMUSG00000104095.2	10	19	9	1	0	1	0	0	0	0	0	0	1	1
ENSMUSG00000089914.3	1	0	0	1	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000090142.3	4	1	0	0	0	2	0	0	0	0	2	0	0	0
ENSMUSG00000070175.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099906.3	2	6	3	0	0	3	0	1	0	0	0	0	0	0
ENSMUSG00000065559.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065480.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025929.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041872.10	0	0	0	1	0	0	0	1	1	0	0	0	0	0
ENSMUSG00000041859.11	400	320	370	430	530	380	258	198	248	357	223	290	241	498
ENSMUSG00000099714.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102121.2	6	1	8	2	0	4	1	1	0	0	0	0	1	0
ENSMUSG00000088858.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097934.2	0	0	2	1	0	0	0	0	0	0	0	0	0	0
